2025/06/03;10:35:06;18.60
2025/06/03;11:02:02;26.07
2025/06/04;11:55:10;13.10
2025/06/04;11:02:29;15.21
2025/06/04;14:02:02;21.73
2025/06/04;13:02:02;22.35
2025/06/04;14:02:02;22.49
2025/06/12;08:43:22;20.68
2025/06/12;09:02:01;25.36
2025/06/12;10:02:02;33.93
2025/06/12;10:09:07;31.82
2025/06/12;12:02:02;22.20
2025/06/12;14:02:02;23.65
2025/06/12;16:02:02;23.19
2025/06/12;18:02:02;22.31
2025/06/12;20:02:09;19.03
2025/06/12;22:02:02;16.93
2025/06/13;00:02:01;15.53
2025/06/13;02:02:02;14.84
2025/06/13;04:02:02;14.26
2025/06/13;06:02:02;14.95
2025/06/13;08:02:01;17.82
2025/06/13;10:02:02;28.94
2025/06/13;12:02:02;24.02
2025/06/13;14:02:02;23.99
2025/06/13;16:02:02;24.20
2025/06/13;18:02:01;21.58
2025/06/13;20:02:02;14.42
2025/06/13;22:02:01;14.90
2025/06/14;00:02:02;15.08
2025/06/14;02:02:02;14.88
2025/06/14;04:02:01;14.51
2025/06/14;06:02:02;15.32
2025/06/14;08:02:02;18.19
2025/06/14;10:02:02;25.40
2025/06/14;12:02:02;24.48
2025/06/14;14:02:02;25.74
2025/06/14;16:02:02;24.79
2025/06/14;18:02:02;21.57
2025/06/14;20:02:02;14.25
2025/06/14;22:02:01;13.58
2025/06/15;00:02:02;13.30
2025/06/15;02:02:02;12.40
2025/06/15;04:02:02;12.71
2025/06/15;06:02:02;12.75
2025/06/15;08:02:02;16.23
2025/06/15;10:02:02;17.27
2025/06/15;12:02:02;18.25
2025/06/15;14:02:01;18.77
2025/06/15;16:02:02;19.68
2025/06/15;18:02:02;17.23
2025/06/15;20:02:02;14.09
2025/06/15;22:02:02;12.55
2025/06/16;00:02:02;12.00
2025/06/16;02:02:02;11.49
2025/06/16;04:02:02;11.45
2025/06/16;06:02:02;13.27
2025/06/16;08:02:02;15.87
2025/06/26;10:02:02;30.82
2025/06/26;12:02:02;21.94
2025/06/26;14:02:02;23.51
2025/06/26;16:02:02;21.71
2025/06/26;18:02:02;19.92
2025/06/26;20:02:02;15.63
2025/06/26;22:02:02;14.46
2025/06/27;00:02:02;13.81
2025/06/27;02:02:02;14.29
2025/06/27;04:02:02;13.55
2025/06/27;06:02:02;14.08
2025/06/27;08:02:02;17.06
2025/06/27;10:02:02;31.54
2025/06/27;12:02:02;23.85
2025/06/27;14:02:01;23.79
2025/06/27;16:02:02;23.79
2025/06/27;18:02:02;22.49
2025/06/27;20:02:02;19.17
2025/06/27;22:02:02;17.09
2025/06/28;00:02:01;16.21
2025/06/28;02:02:02;15.70
2025/06/28;04:02:02;15.43
2025/06/28;06:02:02;16.34
2025/06/28;08:02:02;19.51
2025/06/28;10:02:02;33.75
2025/06/28;12:02:02;25.54
2025/06/28;14:02:02;25.60
2025/06/28;16:02:02;24.70
2025/06/28;18:02:02;22.57
2025/06/28;20:02:14;20.69
2025/06/28;22:02:02;18.59
2025/06/29;00:02:02;17.67
2025/06/29;02:02:01;16.89
2025/06/29;04:02:02;16.59
2025/06/29;06:02:02;17.13
2025/06/29;08:02:02;19.69
2025/06/29;10:02:02;32.00
2025/06/29;12:02:02;26.83
2025/06/29;14:02:02;23.89
2025/06/29;16:02:02;21.16
2025/06/29;18:02:02;21.30
2025/06/29;20:02:02;19.28
2025/06/29;22:02:02;18.39
2025/06/30;00:02:02;17.38
2025/06/30;02:02:02;16.34
2025/06/30;04:02:01;15.63
2025/06/30;06:02:01;15.82
