2024/10/21;14:43:43;61.07
2024/10/21;15:02:01;64.68
2024/10/21;18:02:01;76.19
2024/10/21;19:02:02;70.01
2024/10/21;20:02:01;69.92
2024/10/21;22:02:02;69.64
2024/10/22;00:02:02;72.83
2024/10/22;02:02:01;71.48
2024/10/22;04:02:01;70.37
2024/10/22;06:02:01;69.99
2024/10/22;08:02:37;69.48
2024/10/22;10:02:37;70.41
2024/10/22;12:02:36;70.70
2024/10/22;14:02:36;70.76
2024/10/22;15:02:02;68.91
2024/10/22;16:02:35;58.95
2024/10/22;17:02:02;56.74
2024/10/22;18:02:02;55.70
2024/10/22;19:02:02;55.42
2024/10/22;20:02:02;55.62
2024/10/22;21:02:02;55.61
2024/10/22;22:02:01;55.92
2024/10/22;23:02:01;56.03
2024/10/23;00:02:02;55.91
2024/10/23;01:02:02;55.68
2024/10/23;02:02:02;55.59
2024/10/23;03:02:02;55.79
2024/10/23;04:02:02;55.75
2024/10/23;05:02:01;55.68
2024/10/23;06:02:01;55.72
2024/10/23;07:02:02;55.69
2024/10/23;08:02:02;55.64
2024/10/23;09:02:02;55.25
2024/10/23;10:02:02;55.09
2024/10/23;11:02:02;52.78
2024/10/23;12:02:01;50.08
2024/10/23;13:02:01;48.95
2024/10/23;14:02:01;47.45
2024/10/23;15:02:01;43.85
2024/10/23;16:02:01;37.57
2024/10/23;17:02:02;43.92
2024/10/23;18:02:02;45.67
2024/10/23;19:02:02;47.17
2024/10/23;20:02:01;48.12
2024/10/23;21:02:02;49.27
2024/10/23;22:02:02;50.00
2024/10/23;23:02:01;51.05
2024/10/24;00:02:01;51.48
2024/10/24;01:02:02;51.71
2024/10/24;02:02:02;51.86
2024/10/24;03:02:02;51.95
2024/10/24;04:02:02;52.22
2024/10/24;05:02:01;52.32
2024/10/24;06:02:01;52.45
2024/10/24;07:02:02;52.54
2024/10/24;08:02:02;52.47
2024/10/24;09:02:01;52.12
2024/10/24;10:02:02;51.98
2024/10/24;11:02:02;51.74
2024/10/24;12:02:02;51.36
2024/10/24;13:02:02;48.42
2024/10/24;14:02:01;42.59
2024/10/24;15:02:02;31.80
2024/10/24;16:02:02;30.15
2024/10/24;17:02:02;33.85
2024/10/24;18:02:02;39.10
2024/10/24;19:02:02;41.68
2024/10/24;20:02:02;44.03
2024/10/24;21:02:02;45.04
2024/10/24;22:02:02;47.30
2024/10/24;23:02:02;48.36
2024/10/25;00:02:02;48.90
2024/10/25;01:02:02;49.28
2024/10/25;02:02:01;49.56
2024/10/25;03:02:01;49.82
2024/10/25;04:02:02;50.16
2024/10/25;05:02:02;50.39
2024/10/25;06:02:02;50.50
2024/10/25;07:02:02;50.60
2024/10/25;08:02:02;50.74
2024/10/25;09:02:02;50.66
2024/10/25;10:02:01;51.81
2024/10/25;11:02:02;47.67
2024/10/25;13:02:02;49.28
2024/10/25;14:02:02;34.07
2024/10/25;15:02:02;42.57
2024/10/25;16:02:01;43.83
2024/10/25;17:02:02;47.12
2024/10/25;18:02:02;50.16
2024/10/25;19:02:02;53.98
2024/10/25;20:02:02;51.62
2024/10/25;21:02:02;51.56
2024/10/25;22:02:02;52.48
2024/10/25;23:02:02;53.14
2024/10/26;00:02:01;54.44
2024/10/26;01:02:01;54.22
2024/10/26;02:02:02;53.95
2024/10/26;03:02:02;53.88
2024/10/26;04:02:02;53.81
2024/10/26;05:02:02;54.09
2024/10/26;06:02:01;54.18
2024/10/26;07:02:01;54.17
2024/10/26;08:02:02;54.14
2024/10/26;09:02:02;56.02
2024/10/26;10:02:01;56.33
2024/10/26;11:02:01;56.36
2024/10/26;12:02:01;55.95
2024/10/26;13:02:02;54.51
2024/10/26;14:02:02;53.40
2024/10/26;15:02:02;48.99
2024/10/26;16:02:02;45.12
2024/10/26;17:02:02;49.24
2024/10/26;18:02:02;51.53
2024/10/26;19:02:02;52.71
2024/10/26;20:02:02;53.69
2024/10/26;21:02:01;54.17
2024/10/26;22:02:01;53.70
2024/10/26;23:02:02;55.87
2024/10/27;00:02:02;56.43
2024/10/27;01:02:02;56.32
2024/10/27;02:02:02;56.55
2024/10/27;02:02:01;56.56
2024/10/27;03:02:01;56.43
2024/10/27;04:02:01;56.25
2024/10/27;05:02:02;56.44
2024/10/27;06:02:02;56.65
